모델,Accuracy,Acc_std,ROC-AUC,AUC_std
Baseline (최빈값),0.6161383466197978,0.034792907585907744,0.5,0.0
LogisticRegression,0.8237838177138912,0.02839071999161604,0.8658099305631053,0.041994154329524275
RandomForest,0.8204130311970372,0.03001208171800488,0.8633618058656103,0.025720629499525558
HistGradientBoosting,0.8069173309898939,0.026496589280656502,0.838651808912999,0.03391626934444147
