모델,Accuracy,Acc_std,ROC-AUC,AUC_std
Baseline (최빈값),0.6161634548992531,0.002324923639127706,0.5,0.0
LogisticRegression,0.8361182599962337,0.012243192655523538,0.8728940908415439,0.01882461125779031
RandomForest,0.8294017952419811,0.011610757058276565,0.874513252376412,0.02289022031220793
HistGradientBoosting,0.8372418555018518,0.028743890713370662,0.8793005182636568,0.027089556354235406
