모델,일반분할,일반_시드변동,그룹분할,그룹_시드변동,누수기여
Baseline(최빈값),0.6161634548992531,0.0,0.6161657620364088,2.497572617184745e-06,-2.307137155765915e-06
LogisticRegression,0.8289485907978156,0.002523486388625981,0.8276408705742002,0.0024167733608297676,0.0013077202236153607
RandomForest,0.8284916201117317,0.0023963284560659932,0.8256372024432151,0.004578447178763884,0.0028544176685165734
HistGradientBoosting,0.8300684200615154,0.004046169046501012,0.8081363259272237,0.0038149393564749405,0.021932094134291646
